raw_activity,clean_activity
Home Repair Services | Residential Landscaping Services,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Other Home Based Businesses | Residential Real Estate Developer (Home Based Business),Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Residential Construction / Minor Home Repair Services | Residential Installation of Appliances / Blinds / Carpet,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Other Home Based Businesses | Residential Real Estate Developer (Home Based Business) | Property Management / Real Estate Management (Home Based Business),Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Other Home Based Businesses | Residential Cleaning (Home Based Business) | Snow Removal Service (Home Based Business),Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Residential Real Estate Developer (Home Based Business) | Residential Remodeling and Repair (Home Based Business) | Property Management / Real Estate Management (Home Based Business),Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
"Operation of an Administrative Commercial Office | Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties",Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Snowplowing,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Operation of an Administrative Commercial Office | Cable or Satellite Installation - Commercial Properties | Cable or Satellite Installation - Residential Properties,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Commercial Landscaping Services | Residential Landscaping Services | Retail Sales of General Merchandise,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
"Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties | Home Repair Services | Residential Construction / Minor Home Repair Services | Roof Repair and Installation",Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Home Repair Services | Residential Installation of Appliances / Blinds / Carpet,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Home Repair Services | Residential Construction / Minor Home Repair Services | Residential Installation of Appliances / Blinds / Carpet | Residential Landscaping Services | Roof Repair and Installation,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
"Commercial Landscaping Services | Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties | Residential Landscaping Services",Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Residential Installation of Appliances / Blinds / Carpet | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Furniture | Retail Sales of General Merchandise,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
Cable or Satellite Installation - Commercial Properties,Acquisition and Improvement of Land/Residential Buildings (Residential Real Estate Developer)
"Rental of Location for Children's Birthday Parties | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (40% Or More Children) | After School Program / Tutoring Children Under 18 Years of Age",After School Program / Tutoring Children Under 18 Years of Age
"Operation of an Administrative Commercial Office | Miscellaneous Commercial Services | Sale of Art | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",After School Program / Tutoring Children Under 18 Years of Age
Provide Amusement Devices for Children - Less Than 3 Devices | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
After School Program / Tutoring Children Under 18 Years of Age | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food,After School Program / Tutoring Children Under 18 Years of Age
Training in Gymnastics for Both Children and Adults (Less Than 40% Children),After School Program / Tutoring Children Under 18 Years of Age
"Operation of an Administrative Commercial Office | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Children Under 18 Years of Age (Less Than 40% Children)",After School Program / Tutoring Children Under 18 Years of Age
After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Children's Activities Facilities,After School Program / Tutoring Children Under 18 Years of Age
Training in Gymnastics for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
"Operation of an Administrative Commercial Office | Miscellaneous Commercial Services | Training in The Arts of Combat and Self-Defense, Music, Art, Gymnastics, or Dance for Adults",After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Instruction in Dance for Children Under 18 Years of Age | Instruction in Dance for Both Children and Adults (40% or More Children),After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food | Instruction in Dance for Both Children and Adults (40% or More Children),After School Program / Tutoring Children Under 18 Years of Age
Training in Gymnastics for Both Children and Adults (40% or More Children),After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Training in Gymnastics for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties,After School Program / Tutoring Children Under 18 Years of Age
Provide Amusement Devices for Children - Less Than 3 Devices,After School Program / Tutoring Children Under 18 Years of Age
Operation of an Administrative Commercial Office | Training in Gymnastics for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Training in Gymnastics for Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
"Rental of Location for Children's Birthday Parties | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs",After School Program / Tutoring Children Under 18 Years of Age
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Training in Gymnastics for Children Under 18 Years of Age | After School Program / Tutoring Children Under 18 Years of Age",After School Program / Tutoring Children Under 18 Years of Age
Provide Amusement Devices for Children - Less Than 3 Devices | After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
"Rental of Location for Children's Birthday Parties | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm",After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Instruction in Art for Both Children and Adults (40% or More Children) | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Miscellaneous Commercial Services | After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Instruction in Art for Children Under 18 Years of Age | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Provide Amusement Devices for Children - Less Than 3 Devices | Rental of Location for Children's Birthday Parties | Recreational Sports Facility for Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food | After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Operation of an Administrative Commercial Office | After School Program / Tutoring Children Under 18 Years of Age,After School Program / Tutoring Children Under 18 Years of Age
Rental of Location for Children's Birthday Parties | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Both Children and Adults (40% or More Children),After School Program / Tutoring Children Under 18 Years of Age
Training in Gymnastics for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise | Fitness Classes,After School Program / Tutoring Children Under 18 Years of Age
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of Cell Phones and Accessories,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of General Merchandise,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Valuable Objects,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of General Merchandise and Non-Perishable Food,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Buying and Reselling of Used Valuable Objects,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Buying and Reselling of Used Cell Phones,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of Used Electronics | Buying and Reselling of Used Cell Phones,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems),Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency) | Retail Sales of Jewelry and Jewelry Repair",Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Valuable Objects | Sale of Vehicle Parts and Accessories,Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency) | Buying and Reselling of Used Valuable Objects",Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Electronic Equipment Repair,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of Clothing / Accessories / Shoes,Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency) | Retail Sales of General Merchandise",Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Electronic Equipment Repair | Retail Sales of New Electronics and Accessories | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories | Retail Sales of Appliances | Buying and Reselling of Used Cell Phones,Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency) | Buying and Reselling of Used Cell Phones",Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Used Electronics,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Cell Phones,Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Miscellaneous Commercial Services,Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency) | Rental of General Merchandise",Buying and Reselling of Used Valuable Objects
"Buying and Reselling of Valuable Used Goods (Jewelry, Precious Metals, Stones, Gems, Currency)",Buying and Reselling of Used Valuable Objects
Buying and Reselling of Used Valuable Objects | Retail Sales of Jewelry and Jewelry Repair,Buying and Reselling of Used Valuable Objects
Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances (Performing Arts Venue) | Live Theatrical / Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization | Charges a Fee for Entertainment or Amusements or Recreational Activities,Charges a Fee for Entertainment or Amusements or Recreational Activities
Miscellaneous Commercial Services | Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise and Non-Perishable Food,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities | Rental of Miscellaneous Items for Events and Parties,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise | Enagage in Multi-Media Services,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities | Operation of Industrial Private Event Venue,Charges a Fee for Entertainment or Amusements or Recreational Activities
Amusement - Entertainment | Charges a Fee for Entertainment or Amusements or Recreational Activities,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization | Charges a Fee for Entertainment or Amusements or Recreational Activities | Training in Gymnastics for Both Children and Adults (Less Than 40% Children),Charges a Fee for Entertainment or Amusements or Recreational Activities
Provides Onsite Entertainment or Rental of Establishment,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise and Non-Perishable Food,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances (Performing Arts Venue),Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances (Performing Arts Venue) | Retail Sales of General Merchandise and Non-Perishable Food,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances (Performing Arts Venue) | Charges a Fee for Entertainment or Amusements or Recreational Activities,Charges a Fee for Entertainment or Amusements or Recreational Activities
Provides Onsite Amusement or Entertainment,Charges a Fee for Entertainment or Amusements or Recreational Activities
Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise | Sale of Art | Rental of Private Event Space (Less Than 100 Person Occupancy) | Provide Photography or Videography Services,Charges a Fee for Entertainment or Amusements or Recreational Activities
Provides Onsite Entertainment or Rental of Establishment | Charges a Fee for Entertainment or Amusements or Recreational Activities,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances Where Organization is Operating as an Incidental Use In a Building Primarily Used In The Conduct of Activities of a Not-For-Profit Organization | Retail Sales of General Merchandise and Non-Perishable Food,Charges a Fee for Entertainment or Amusements or Recreational Activities
Live Theatrical / Live Cultural Performances (Performing Arts Venue) | Charges a Fee for Entertainment or Amusements or Recreational Activities | Retail Sales of General Merchandise and Non-Perishable Food,Charges a Fee for Entertainment or Amusements or Recreational Activities
Retail Sales of General Merchandise and Non-Perishable Food | Tavern - Consumption of Liquor on Premises,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Provide Foot Massage - Fully Clothed/No Disrobing,Consumption of Liquor on Premises
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Packaged Liquor | Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM,Consumption of Liquor on Premises
Pharmacy / Photo Services | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Packaged Liquor | Retail Sales of General Merchandise | Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM,Consumption of Liquor on Premises
Retail Sales of Packaged Liquor | Retail Sales of General Merchandise,Consumption of Liquor on Premises
Retail Sales of General Merchandise and Non-Perishable Food | Tavern - Consumption of Liquor on Premises | Retail Sales of General Merchandise,Consumption of Liquor on Premises
Catering of Liquor To Events | Retail Sales of General Merchandise and Non-Perishable Food,Consumption of Liquor on Premises
Retail Sale of Liquor From a Kiosk at O'Hare or Midway Airport -Temporary,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Pharmacy / Photo Services | Retail Sales of General Merchandise and Non-Perishable Food,Consumption of Liquor on Premises
Mobile Cart at Navy Pier - Sale of Liquor,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Consumption of Liquor on Premises - Riverwalk Venue,Consumption of Liquor on Premises
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Packaged Liquor | Retail Sales of General Merchandise,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Art,Consumption of Liquor on Premises
Consumption of Liquor on Premises - Lakefront Venue,Consumption of Liquor on Premises
Consumption of Liquor on Premises - Riverwalk Venue,Consumption of Liquor on Premises
Retail Sale of Liquor From a Kiosk at O'Hare or Midway Airport,Consumption of Liquor on Premises
Special Event Beer & Wine,Consumption of Liquor on Premises
Catering of Liquor From a Business Not Located In Chicago,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Consumption of Liquor on Premises - Lakefront Venue,Consumption of Liquor on Premises
Consumption of Liquor on Premises,Consumption of Liquor on Premises
Tavern - Consumption of Liquor on Premises,Consumption of Liquor on Premises
Retail Sales of Packaged Liquor,Consumption of Liquor on Premises
Catering of Liquor To Events,Consumption of Liquor on Premises
Sale of Liquor Outdoors on Private Property,Consumption of Liquor on Premises
Consumption of Liquor on Premises | Sale of Art,Consumption of Liquor on Premises
Consumption of Liquor on Premises - Not for Profit,Consumption of Liquor on Premises
"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",Consumption of Liquor on Premises
Consumption of Liquor on Premises | Retail Sales of General Merchandise and Non-Perishable Food,Consumption of Liquor on Premises
"Special Event Beer, Wine & Spirits",Consumption of Liquor on Premises
Consumption of Liquor on Premises | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise,Consumption of Liquor on Premises
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Packaged Liquor,Consumption of Liquor on Premises
Retail Sales of Packaged Liquor | Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM,Consumption of Liquor on Premises
Electronic Equipment Repair | Miscellaneous Commercial Services | Retail Sales of New Electronics and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories,Electronic Equipment Repair
Electronic Equipment Repair | Enagage in Wholesale Sales,Electronic Equipment Repair
Electronic Equipment Repair | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories | Buying and Reselling of Used Cell Phones,Electronic Equipment Repair
Electronic Equipment Repair | Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Clothing / Accessories / Shoes | Retail Sales of Cell Phones and Accessories | Buying and Reselling of Used Cell Phones,Electronic Equipment Repair
